ph,temperature,turbidity,tds,Potability,timestamp
6.49,24.55,619.4,83.74,0,2026-05-01T04:31:39.951395+00:00
6.5,24.47,614.2,85.6,0,2026-05-01T04:31:44.977428+00:00
6.51,24.52,614.5,97.32,0,2026-05-01T04:31:50.008443+00:00
6.49,24.42,602.0,85.08,0,2026-05-01T04:31:55.029695+00:00
6.47,24.57,617.2,95.59,0,2026-05-01T04:32:00.053189+00:00
7.94,21.26,12.45,763.52,0,2026-05-01T04:32:02.596642+00:00
6.48,24.57,612.7,80.32,0,2026-05-01T04:32:05.069549+00:00
7.49,30.26,5.99,248.72,0,2026-05-01T04:32:07.607396+00:00
6.5,24.52,614.8,92.44,0,2026-05-01T04:32:10.080651+00:00
6.22,22.32,13.1,767.38,0,2026-05-01T04:32:12.627305+00:00
6.51,24.56,610.3,81.31,0,2026-05-01T04:32:15.102177+00:00
9.11,27.43,8.92,304.0,0,2026-05-01T04:32:17.649027+00:00
6.47,24.52,608.4,98.69,0,2026-05-01T04:32:20.122056+00:00
6.11,34.74,8.27,299.86,0,2026-05-01T04:32:22.662095+00:00
6.52,24.57,614.2,99.62,0,2026-05-01T04:32:25.138639+00:00
8.74,26.55,2.92,114.95,0,2026-05-01T04:32:27.686368+00:00
6.48,24.43,603.2,91.0,0,2026-05-01T04:32:30.162710+00:00
8.74,20.38,4.02,495.57,0,2026-05-01T04:32:32.706378+00:00
6.5,24.5,610.2,84.06,0,2026-05-01T04:32:35.179536+00:00
8.93,25.13,4.6,638.04,0,2026-05-01T04:32:37.721259+00:00
6.48,24.54,604.4,94.18,0,2026-05-01T04:32:40.201410+00:00
6.51,23.81,5.02,120.67,1,2026-05-01T04:32:42.728444+00:00
6.5,24.52,606.2,95.9,0,2026-05-01T04:32:45.221877+00:00
6.67,26.44,1.38,666.16,1,2026-05-01T04:32:47.780884+00:00
6.47,24.43,603.0,93.75,0,2026-05-01T04:32:50.242756+00:00
9.11,26.68,14.91,326.0,0,2026-05-01T04:32:52.835116+00:00
