ph,temperature,turbidity,tds,Potability,timestamp,sensor_id
7.42,34.74,2.77,562.33,0,2026-04-30T09:53:46.011100,SENSOR_002
8.65,27.04,5.32,628.1,0,2026-04-30T09:54:46.011100,SENSOR_005
9.01,28.21,0.57,311.7,0,2026-04-30T09:55:46.011100,SENSOR_003
6.13,21.92,2.91,144.75,0,2026-04-30T09:56:46.011100,SENSOR_002
7.7,34.78,9.45,215.6,0,2026-04-30T09:57:46.011100,SENSOR_002
8.31,20.64,14.56,339.71,0,2026-04-30T09:58:46.011100,SENSOR_001
6.56,32.98,3.8,147.23,1,2026-04-30T09:59:46.011100,SENSOR_003
8.56,32.15,6.86,608.87,1,2026-04-30T10:00:46.011100,SENSOR_003
8.89,29.54,8.13,510.78,0,2026-04-30T10:01:46.011100,SENSOR_002
5.76,33.94,2.79,180.89,0,2026-04-30T10:02:46.011100,SENSOR_003
5.99,30.35,10.79,322.78,0,2026-04-30T10:03:46.011100,SENSOR_004
8.24,32.37,9.56,338.92,0,2026-04-30T10:04:46.011100,SENSOR_004
7.15,20.7,13.51,446.58,0,2026-04-30T10:05:46.011100,SENSOR_003
8.96,25.75,5.47,269.05,0,2026-04-30T10:06:46.011100,SENSOR_005
7.28,30.22,5.19,729.79,0,2026-04-30T10:07:46.011100,SENSOR_001
6.31,32.52,10.44,577.27,0,2026-04-30T10:08:46.011100,SENSOR_001
7.97,26.45,3.2,460.73,1,2026-04-30T10:09:46.011100,SENSOR_002
5.96,24.69,4.08,793.1,1,2026-04-30T10:10:46.011100,SENSOR_005
9.29,24.2,2.42,226.21,0,2026-04-30T10:11:46.011100,SENSOR_001
5.5,26.91,2.08,242.07,0,2026-04-30T10:12:46.011100,SENSOR_003
7.01,32.43,3.68,240.68,1,2026-04-30T10:13:46.011100,SENSOR_002
7.66,21.51,12.63,386.6,0,2026-04-30T10:14:46.011100,SENSOR_005
5.64,29.42,0.24,239.67,0,2026-04-30T10:15:46.011100,SENSOR_001
7.88,20.28,14.14,321.61,1,2026-04-30T10:16:46.011100,SENSOR_003
6.93,26.25,13.3,264.71,0,2026-04-30T10:17:46.011100,SENSOR_004
8.57,28.28,11.13,554.03,0,2026-04-30T10:18:46.011100,SENSOR_002
8.57,28.05,4.28,356.85,0,2026-04-30T10:19:46.011100,SENSOR_001
8.9,34.27,8.25,314.08,0,2026-04-30T10:20:46.011100,SENSOR_002
8.23,34.52,14.29,764.67,0,2026-04-30T10:21:46.011100,SENSOR_001
6.65,22.03,7.44,380.4,1,2026-04-30T10:22:46.011100,SENSOR_003
9.48,30.0,6.15,762.2,0,2026-04-30T10:23:46.011100,SENSOR_001
8.16,22.36,12.92,170.35,0,2026-04-30T10:24:46.011100,SENSOR_001
8.99,21.39,5.33,193.25,0,2026-04-30T10:25:46.011100,SENSOR_003
9.47,29.47,9.98,438.38,1,2026-04-30T10:26:46.011100,SENSOR_004
7.78,31.22,5.16,335.65,0,2026-04-30T10:27:46.011100,SENSOR_003
9.38,25.39,10.87,164.75,0,2026-04-30T10:28:46.011100,SENSOR_002
6.18,28.67,5.47,188.07,0,2026-04-30T10:29:46.011100,SENSOR_005
9.02,27.2,3.06,684.04,0,2026-04-30T10:30:46.011100,SENSOR_004
8.64,23.08,0.27,590.81,0,2026-04-30T10:31:46.011100,SENSOR_005
9.08,34.28,0.83,124.12,0,2026-04-30T10:32:46.011100,SENSOR_003
6.88,31.78,14.29,181.65,0,2026-04-30T10:33:46.011100,SENSOR_005
8.18,33.63,6.87,587.38,0,2026-04-30T10:34:46.011100,SENSOR_001
8.88,34.99,9.13,787.23,0,2026-04-30T10:35:46.011100,SENSOR_002
6.99,31.96,7.85,684.72,1,2026-04-30T10:36:46.011100,SENSOR_003
9.15,26.23,3.08,463.17,0,2026-04-30T10:37:46.011100,SENSOR_005
8.75,21.13,8.02,413.57,0,2026-04-30T10:38:46.011100,SENSOR_005
6.38,32.12,4.47,418.21,0,2026-04-30T10:39:46.011100,SENSOR_005
9.16,29.8,10.4,777.33,0,2026-04-30T10:40:46.011100,SENSOR_003
7.41,22.98,3.91,555.47,0,2026-04-30T10:41:46.011100,SENSOR_004
7.7,20.21,14.93,769.88,0,2026-04-30T10:42:46.011100,SENSOR_005
6.72,24.75,0.61,730.53,0,2026-04-30T10:43:46.011100,SENSOR_003
6.99,30.32,5.19,546.51,0,2026-04-30T10:44:46.011100,SENSOR_002
7.18,24.19,12.58,777.87,0,2026-04-30T10:45:46.011100,SENSOR_004
8.73,21.17,2.08,486.12,0,2026-04-30T10:46:46.011100,SENSOR_004
6.21,34.53,4.73,589.59,0,2026-04-30T10:47:46.011100,SENSOR_002
